,loss,reconstruction_loss,lr
0,9960.0068359375,9960.0068359375,0.001
1,9512.3798828125,9512.3798828125,0.001
2,9490.69921875,9490.69921875,0.001
3,9372.984375,9372.984375,0.001
4,9287.48046875,9287.48046875,0.001
5,9264.8271484375,9264.8271484375,0.001
6,9252.087890625,9252.087890625,0.001
7,9237.2109375,9237.2109375,0.001
8,9237.298828125,9237.298828125,0.001
9,9188.2734375,9188.2734375,0.001
10,9159.8173828125,9159.8173828125,0.001
11,9139.197265625,9139.197265625,0.001
12,9128.212890625,9128.212890625,0.001
13,9121.1708984375,9121.1708984375,0.001
14,9113.357421875,9113.357421875,0.001
15,9107.0458984375,9107.0458984375,0.001
16,9099.306640625,9099.306640625,0.001
17,9102.8125,9102.8125,0.001
18,9104.8046875,9104.8046875,0.001
19,9101.2548828125,9101.2548828125,0.001
20,9089.732421875,9089.732421875,0.001
21,9085.462890625,9085.462890625,0.001
22,9082.216796875,9082.216796875,0.001
23,9080.38671875,9080.38671875,0.001
24,9078.0537109375,9078.0537109375,0.001
25,9078.1455078125,9078.1455078125,0.001
26,9075.326171875,9075.326171875,0.001
27,9076.81640625,9076.81640625,0.001
28,9077.8388671875,9077.8388671875,0.001
29,9074.201171875,9074.201171875,0.001
30,9073.2919921875,9073.2919921875,0.001
31,9074.3271484375,9074.3271484375,0.001
32,9069.8671875,9069.8671875,0.001
33,9070.927734375,9070.927734375,0.001
34,9068.2861328125,9068.2861328125,0.001
35,9069.4306640625,9069.4306640625,0.001
36,9068.0458984375,9068.0458984375,0.001
37,9067.267578125,9067.267578125,0.001
38,9067.0078125,9067.0078125,0.001
39,9066.8828125,9066.8828125,0.001
40,9067.8125,9067.8125,0.001
41,9069.431640625,9069.431640625,0.001
42,9073.029296875,9073.029296875,0.001
43,9067.4931640625,9067.4931640625,0.001
44,9069.2626953125,9069.2626953125,0.001
45,9061.6962890625,9061.6962890625,0.001
46,9061.541015625,9061.541015625,0.001
47,9063.7900390625,9063.7900390625,0.001
48,9062.751953125,9062.751953125,0.001
49,9059.62890625,9059.62890625,0.001
50,9057.9306640625,9057.9306640625,0.001
51,9057.955078125,9057.955078125,0.001
52,9058.078125,9058.078125,0.001
53,9057.947265625,9057.947265625,0.001
54,9057.2900390625,9057.2900390625,0.001
55,9056.5576171875,9056.5576171875,0.001
56,9055.6435546875,9055.6435546875,0.001
57,9054.9912109375,9054.9912109375,0.001
58,9054.740234375,9054.740234375,0.001
59,9054.35546875,9054.35546875,0.001
60,9053.416015625,9053.416015625,0.001
61,9053.701171875,9053.701171875,0.001
62,9054.384765625,9054.384765625,0.001
63,9054.34765625,9054.34765625,0.001
64,9053.3740234375,9053.3740234375,0.001
65,9052.86328125,9052.86328125,0.001
66,9052.9248046875,9052.9248046875,0.001
67,9053.3896484375,9053.3896484375,0.001
68,9053.1865234375,9053.1865234375,0.001
69,9054.3251953125,9054.3251953125,0.001
70,9055.6064453125,9055.6064453125,0.001
71,9052.578125,9052.578125,0.001
72,9056.7763671875,9056.7763671875,0.001
73,9066.4140625,9066.4140625,0.001
74,9056.5908203125,9056.5908203125,0.001
75,9053.8896484375,9053.8896484375,0.001
76,9053.2021484375,9053.2021484375,0.001
77,9051.693359375,9051.693359375,0.001
78,9050.9931640625,9050.9931640625,0.001
79,9050.6796875,9050.6796875,0.001
80,9051.4150390625,9051.4150390625,0.001
81,9056.1650390625,9056.1650390625,0.001
82,9057.328125,9057.328125,0.001
83,9061.970703125,9061.970703125,0.001
84,9064.841796875,9064.841796875,0.001
85,9060.6669921875,9060.6669921875,0.001
86,9051.3173828125,9051.3173828125,0.001
87,9049.666015625,9049.666015625,0.001
88,9050.1552734375,9050.1552734375,0.001
89,9054.140625,9054.140625,0.001
90,9056.056640625,9056.056640625,0.001
91,9052.6416015625,9052.6416015625,0.001
92,9049.0791015625,9049.0791015625,0.001
93,9047.74609375,9047.74609375,0.001
94,9047.3818359375,9047.3818359375,0.001
95,9047.2939453125,9047.2939453125,0.001
96,9047.310546875,9047.310546875,0.001
97,9047.4150390625,9047.4150390625,0.001
98,9048.11328125,9048.11328125,0.001
99,9051.349609375,9051.349609375,0.001
100,9057.3017578125,9057.3017578125,0.001
101,9060.4248046875,9060.4248046875,0.001
102,9052.1455078125,9052.1455078125,0.001
103,9046.8271484375,9046.8271484375,0.001
